tag_id, X, Y, Z (meters)
0, 2.372, 5.872, 0.295
1, 2.383, 6.401, 0.301
2, 2.885, 6.432, 0.285
3, 2.897, 5.888, 0.267
4, 2.500, 4.912, 0.294
5, 3.001, 4.921, 0.276
6, 3.003, 5.452, 0.282
7, 2.491, 5.440, 0.300
8, 0.640, 5.161, 0.332
9, 0.737, 3.098, 0.331
10, 4.929, 5.134, 0.221
11, 4.857, 2.910, 0.212
12, 2.997, -0.243, 0.262
13, 2.861, 8.338, 0.374
30, 2.455, 2.871, 0.311
33, 2.569, 3.392, 0.291
34, 3.074, 3.302, 0.266
35, 2.980, 2.781, 0.297
36, 3.093, 2.205, 0.280
37, 2.519, 1.772, 0.299
39, 2.584, 2.291, 0.303
40, 3.003, 1.697, 0.272
